rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0087.jpg,34.8,0.4661,0.4403,0.5,0.48,3,3,False,False
76,frame_0127.jpg,50.8,0.4661,0.4123,0.3333,0.8,4,2,False,False
77,frame_0374.jpg,149.6,0.4661,0.5521,0.5,0.2,9,3,False,False
78,frame_0184.jpg,73.6,0.466,0.5,0.6667,0.08,5,4,False,False
79,frame_0307.jpg,122.8,0.466,0.452,0.6667,0.2,5,4,False,False
80,frame_0004.jpg,1.6,0.4631,0.3263,0.3333,1.0,4,2,False,False
81,frame_0175.jpg,70.0,0.4621,0.5122,0.5,0.28,5,3,False,False
82,frame_0014.jpg,5.6,0.4606,0.3212,0.3333,1.0,4,2,False,False
83,frame_0116.jpg,46.4,0.4603,0.4766,0.5,0.36,6,3,False,False
84,frame_0000.jpg,0.0,0.4583,0.3167,0.3333,1.0,5,2,False,False
85,frame_0230.jpg,92.0,0.4577,0.4674,0.6667,0.12,6,4,False,False
86,frame_0300.jpg,120.0,0.4569,0.4218,0.5,0.48,3,3,False,False
87,frame_0021.jpg,8.4,0.4554,0.3108,0.3333,1.0,4,2,False,False
88,frame_0389.jpg,155.6,0.4544,0.4608,0.6667,0.12,6,4,False,False
89,frame_0275.jpg,110.0,0.4491,0.4181,0.6667,0.2,6,4,False,False
90,frame_0025.jpg,10.0,0.4487,0.3974,0.1667,1.0,1,1,False,False
91,frame_0233.jpg,93.2,0.4474,0.4989,0.5,0.24,4,3,False,False
92,frame_0284.jpg,113.6,0.4473,0.3705,0.5,0.56,5,3,False,False
93,frame_0076.jpg,30.4,0.4468,0.4256,0.1667,0.92,4,1,False,False
94,frame_0176.jpg,70.4,0.4459,0.3957,0.6667,0.24,5,4,False,False
95,frame_0122.jpg,48.8,0.4456,0.3512,0.5,0.6,4,3,False,False
96,frame_0005.jpg,2.0,0.4449,0.2899,0.3333,1.0,5,2,False,False
97,frame_0130.jpg,52.0,0.4407,0.3134,0.3333,0.92,5,2,False,False
98,frame_0010.jpg,4.0,0.4384,0.3768,0.1667,1.0,1,1,False,False
99,frame_0368.jpg,147.2,0.4359,0.4558,0.6667,0.04,9,4,False,False
100,frame_0028.jpg,11.2,0.4357,0.3713,0.1667,1.0,2,1,False,False
101,frame_0026.jpg,10.4,0.4356,0.3711,0.1667,1.0,2,1,False,False
102,frame_0395.jpg,158.0,0.4338,0.4196,0.6667,0.12,6,4,False,False
103,frame_0306.jpg,122.4,0.4307,0.4654,0.5,0.24,6,3,False,False
104,frame_0304.jpg,121.6,0.4284,0.5289,0.3333,0.32,4,2,False,False
105,frame_0016.jpg,6.4,0.427,0.254,0.3333,1.0,5,2,False,False
106,frame_0012.jpg,4.8,0.4269,0.3537,0.1667,1.0,3,1,False,False
107,frame_0277.jpg,110.8,0.4262,0.4404,0.5,0.28,6,3,False,False
108,frame_0006.jpg,2.4,0.4254,0.3508,0.1667,1.0,2,1,False,False
109,frame_0067.jpg,26.8,0.4239,0.3477,0.1667,1.0,5,1,False,False
110,frame_0128.jpg,51.2,0.4202,0.4043,0.1667,0.84,5,1,False,False
111,frame_0292.jpg,116.8,0.4158,0.3116,0.3333,0.8,5,2,False,False
112,frame_0396.jpg,158.4,0.4135,0.463,0.5,0.16,7,3,False,False
113,frame_0293.jpg,117.2,0.409,0.3141,0.3333,0.76,4,2,False,False
114,frame_0017.jpg,6.8,0.4088,0.3175,0.1667,1.0,2,1,False,False
115,frame_0032.jpg,12.8,0.4066,0.3132,0.1667,1.0,3,1,False,False
